position,age,mult,lo,hi
MF,20.5,0.9902330979264059,0.949119142051594,1.0
MF,21.0,0.9947642518001665,0.958445505537562,1.0
MF,21.5,0.997902453437019,0.9661856732218119,1.0
MF,22.0,0.9996477028369635,0.9710318014392478,1.0
MF,22.5,1.0,0.9723499171294205,1.0
MF,23.0,0.9989593449261285,0.9661634839187067,1.0
MF,23.5,0.996525737615349,0.9584063962777981,1.0
MF,24.0,0.9926991780676615,0.9495953074175141,1.0
MF,24.5,0.9874796662830664,0.9409138748676297,0.9993537699472886
MF,25.0,0.9808672022615627,0.9312974093607239,0.9968339387053753
MF,25.5,0.9728617860031512,0.9192534487165301,0.9925811299427534
MF,26.0,0.9634634175078318,0.906237307995054,0.9862790898701244
MF,26.5,0.9526720967756045,0.8922489871962956,0.9780542249220708
MF,27.0,0.940487823806469,0.877288486320255,0.9685950004421433
MF,27.5,0.9269105986004257,0.8630786041411114,0.9572029989251521
MF,28.0,0.9119404211574742,0.8505840524156809,0.9448896292276533
MF,28.5,0.8955772914776149,0.8316917167237778,0.9317027615963532
MF,29.0,0.8778212095608474,0.81133969397013,0.9171255212011763
MF,29.5,0.8586721754071722,0.7924140819651304,0.9003523491752318
MF,30.0,0.8381301890165886,0.7697286118874764,0.8822346122815976
MF,30.5,0.8161952503890971,0.74590109056886,0.864481430924568
MF,31.0,0.792867359524698,0.7242985563657633,0.8431703269552854
MF,31.5,0.7681465164233907,0.6986262333157729,0.8240301878800286
MF,32.0,0.742032721085175,0.6732369944236252,0.8000168913655188
MF,32.5,0.7145259735100519,0.6412053415012507,0.7757069018900236
MF,33.0,0.6856262736980206,0.6096858247389706,0.7545705875588072
MF,33.5,0.6553336216490813,0.5775225758158345,0.7315350850169061
MF,34.0,0.6236480173632338,0.5417143209809038,0.7082122272739466
MF,34.5,0.5905694608404786,0.5004082045777235,0.6843770460826238
MF,35.0,0.5560979520808154,0.4573200885992661,0.6579801180676442
MF,35.5,0.5202334910842438,0.41513154839351735,0.6317035183099405
MF,36.0,0.4829760778507647,0.36577567743967304,0.6066693167832272
MF,36.5,0.44432571238037755,0.3169801349349974,0.5805225887838139
MF,37.0,0.40428239467308186,0.2683563787728466,0.5519672212674299
MF,37.5,0.36284612472887895,0.21329034943720665,0.5224126493695627
MF,38.0,0.3200169025477677,0.1540270472934963,0.49216313405732154
DF,17.0,0.8278315483903149,0.6786494169703073,0.9518117246812263
DF,17.5,0.8500944674216875,0.712988708805527,0.9609983793814727
DF,18.0,0.8708166689877179,0.7453883647680916,0.9695598460770433
DF,18.5,0.8899981530884068,0.7758855905929042,0.9770643244492356
DF,19.0,0.9076389197237535,0.8044473278118102,0.9819717770338862
DF,19.5,0.9237389688937582,0.8310632398033209,0.9866293161004676
DF,20.0,0.9382983005984211,0.8557333265674365,0.9910091133356846
DF,20.5,0.951316914837742,0.8791636077575709,0.9944975702292238
DF,21.0,0.9627948116117211,0.9007636282295377,0.9972532150475817
DF,21.5,0.972731990920358,0.9209234380855198,0.9990253627735155
DF,22.0,0.9811284527636531,0.9391387056695228,0.9997468425977901
DF,22.5,0.9879841971416063,0.9531995954872253,1.0
DF,23.0,0.9932992240542177,0.9659420268387051,1.0
DF,23.5,0.9970735335014871,0.9768991010342026,1.0
DF,24.0,0.9993071254834145,0.9829522742140216,1.0
DF,24.5,1.0,0.9851371682329164,1.0
DF,25.0,0.9991521570512437,0.9805288909686313,1.0
DF,25.5,0.9967635966371454,0.9738517317194262,1.0
DF,26.0,0.9928343187577051,0.9651738256347812,1.0
DF,26.5,0.9873643234129229,0.9552414140581785,0.9989258981621376
DF,27.0,0.9803536106027988,0.9450349341882665,0.9962036084572745
DF,27.5,0.9718021803273328,0.9325698470193104,0.9917127872760536
DF,28.0,0.9617100325865249,0.9188422474917651,0.9855468078038949
DF,28.5,0.950077167380375,0.9038347940831867,0.9776093865231197
DF,29.0,0.936903584708883,0.8874812131061773,0.9682853750152703
DF,29.5,0.9221892845720493,0.8689197107609189,0.9568139068471283
DF,30.0,0.9059342669698737,0.8485691109728154,0.9435709617271324
DF,30.5,0.8881385319023561,0.8283421917136055,0.9283656820455805
DF,31.0,0.8688020793694966,0.8061229524729081,0.912417568745256
DF,31.5,0.8479249093712953,0.7826016689029955,0.8970129055743481
