season,league,role,minutes_band,player_seasons
2012,Premier League,Defender,900-1799,42
2012,Premier League,Defender,<450,28
2012,Premier League,Goalkeeper,1800+,19
2012,Premier League,Goalkeeper,450-899,4
2012,Premier League,Goalkeeper,900-1799,1
2012,Premier League,Goalkeeper,<450,12
2012,Premier League,Midfield,1800+,48
2012,Premier League,Midfield,450-899,17
2012,Premier League,Midfield,900-1799,37
2012,Premier League,Midfield,<450,38
2012,Premier League,unknown,1800+,27
2012,Premier League,unknown,450-899,10
2012,Premier League,unknown,900-1799,25
2012,Premier League,unknown,<450,38
2012,Serie A,Attack,1800+,30
2012,Serie A,Attack,450-899,27
2012,Serie A,Attack,900-1799,27
2012,Serie A,Attack,<450,33
2012,Serie A,Defender,1800+,70
2012,Serie A,Defender,450-899,30
2012,Serie A,Defender,900-1799,34
2012,Serie A,Defender,<450,25
2012,Serie A,Goalkeeper,1800+,15
2012,Serie A,Goalkeeper,450-899,9
2012,Serie A,Goalkeeper,900-1799,6
2012,Serie A,Goalkeeper,<450,14
2012,Serie A,Midfield,1800+,52
2012,Serie A,Midfield,450-899,29
2012,Serie A,Midfield,900-1799,48
2012,Serie A,Midfield,<450,30
2012,Serie A,unknown,1800+,23
2012,Serie A,unknown,450-899,23
2012,Serie A,unknown,900-1799,17
2012,Serie A,unknown,<450,45
2013,Bundesliga,Attack,1800+,35
2013,Bundesliga,Attack,450-899,22
2013,Bundesliga,Attack,900-1799,25
2013,Bundesliga,Attack,<450,44
2013,Bundesliga,Defender,1800+,60
2013,Bundesliga,Defender,450-899,19
2013,Bundesliga,Defender,900-1799,43
2013,Bundesliga,Defender,<450,27
2013,Bundesliga,Goalkeeper,1800+,14
2013,Bundesliga,Goalkeeper,450-899,3
2013,Bundesliga,Goalkeeper,900-1799,6
2013,Bundesliga,Goalkeeper,<450,10
2013,Bundesliga,Midfield,1800+,40
2013,Bundesliga,Midfield,450-899,23
2013,Bundesliga,Midfield,900-1799,36
2013,Bundesliga,Midfield,<450,37
2013,Bundesliga,unknown,1800+,5
2013,Bundesliga,unknown,450-899,2
2013,Bundesliga,unknown,900-1799,8
2013,Bundesliga,unknown,<450,20
2013,La Liga,Attack,1800+,40
2013,La Liga,Attack,450-899,21
2013,La Liga,Attack,900-1799,41
2013,La Liga,Attack,<450,32
2013,La Liga,Defender,1800+,64
2013,La Liga,Defender,450-899,22
2013,La Liga,Defender,900-1799,50
2013,La Liga,Defender,<450,33
2013,La Liga,Goalkeeper,1800+,17
2013,La Liga,Goalkeeper,450-899,5
2013,La Liga,Goalkeeper,900-1799,6
2013,La Liga,Goalkeeper,<450,16
