season,league,role,cohort_size,viable_for_percentile
2014,Serie A,Defender,204,True
2014,Serie A,Goalkeeper,51,True
2014,Serie A,Midfield,187,True
2014,Serie A,Missing,1,False
2014,Serie A,unknown,28,True
2015,Bundesliga,Attack,125,True
2015,Bundesliga,Defender,151,True
2015,Bundesliga,Goalkeeper,52,True
2015,Bundesliga,Midfield,151,True
2015,Bundesliga,unknown,57,True
2015,La Liga,Attack,154,True
2015,La Liga,Defender,176,True
2015,La Liga,Goalkeeper,44,True
2015,La Liga,Midfield,140,True
2015,La Liga,Missing,1,False
2015,La Liga,unknown,71,True
2015,Ligue 1,Attack,161,True
2015,Ligue 1,Defender,176,True
2015,Ligue 1,Goalkeeper,53,True
2015,Ligue 1,Midfield,179,True
2015,Ligue 1,Missing,1,False
2015,Ligue 1,unknown,59,True
2015,Premier League,Attack,166,True
2015,Premier League,Defender,187,True
2015,Premier League,Goalkeeper,58,True
2015,Premier League,Midfield,179,True
2015,Premier League,unknown,48,True
2015,Serie A,Attack,155,True
2015,Serie A,Defender,233,True
2015,Serie A,Goalkeeper,75,True
2015,Serie A,Midfield,200,True
2015,Serie A,unknown,86,True
2016,Bundesliga,Attack,130,True
2016,Bundesliga,Defender,168,True
2016,Bundesliga,Goalkeeper,52,True
2016,Bundesliga,Midfield,157,True
2016,Bundesliga,unknown,49,True
2016,La Liga,Attack,155,True
2016,La Liga,Defender,193,True
2016,La Liga,Goalkeeper,53,True
2016,La Liga,Midfield,161,True
2016,La Liga,Missing,2,False
2016,La Liga,unknown,50,True
2016,Ligue 1,Attack,160,True
2016,Ligue 1,Defender,193,True
2016,Ligue 1,Goalkeeper,57,True
2016,Ligue 1,Midfield,190,True
2016,Ligue 1,Missing,1,False
2016,Ligue 1,unknown,65,True
2016,Premier League,Attack,177,True
2016,Premier League,Defender,197,True
2016,Premier League,Goalkeeper,61,True
2016,Premier League,Midfield,182,True
2016,Premier League,unknown,43,True
2016,Serie A,Attack,148,True
2016,Serie A,Defender,233,True
2016,Serie A,Goalkeeper,72,True
2016,Serie A,Midfield,207,True
2016,Serie A,unknown,86,True
2017,Bundesliga,Attack,135,True
2017,Bundesliga,Defender,173,True
2017,Bundesliga,Goalkeeper,51,True
2017,Bundesliga,Midfield,144,True
2017,Bundesliga,unknown,49,True
2017,La Liga,Attack,168,True
2017,La Liga,Defender,184,True
2017,La Liga,Goalkeeper,64,True
2017,La Liga,Midfield,173,True
2017,La Liga,Missing,1,False
2017,La Liga,unknown,33,True
2017,Ligue 1,Attack,161,True
2017,Ligue 1,Defender,196,True
2017,Ligue 1,Goalkeeper,62,True
2017,Ligue 1,Midfield,196,True
2017,Ligue 1,Missing,2,False
2017,Ligue 1,unknown,36,True
2017,Premier League,Attack,170,True
2017,Premier League,Defender,199,True
2017,Premier League,Goalkeeper,64,True
2017,Premier League,Midfield,176,True
2017,Premier League,unknown,35,True
2017,Serie A,Attack,161,True
2017,Serie A,Defender,219,True
2017,Serie A,Goalkeeper,90,True
2017,Serie A,Midfield,205,True
2017,Serie A,unknown,107,True
2018,Bundesliga,Attack,147,True
2018,Bundesliga,Defender,185,True
2018,Bundesliga,Goalkeeper,58,True
2018,Bundesliga,Midfield,159,True
2018,Bundesliga,unknown,1,False
2018,La Liga,Attack,185,True
2018,La Liga,Defender,205,True
2018,La Liga,Goalkeeper,71,True
2018,La Liga,Midfield,175,True
2018,La Liga,Missing,2,False
2018,La Liga,unknown,4,False
2018,Ligue 1,Attack,161,True
2018,Ligue 1,Defender,211,True
2018,Ligue 1,Goalkeeper,67,True
2018,Ligue 1,Midfield,200,True
2018,Ligue 1,unknown,2,False
2018,Premier League,Attack,175,True
2018,Premier League,Defender,206,True
2018,Premier League,Goalkeeper,65,True
2018,Premier League,Midfield,172,True
2018,Serie A,Attack,173,True
2018,Serie A,Defender,246,True
2018,Serie A,Goalkeeper,85,True
2018,Serie A,Midfield,209,True
2018,Serie A,unknown,4,False
2019,Bundesliga,Attack,144,True
2019,Bundesliga,Defender,183,True
2019,Bundesliga,Goalkeeper,59,True
2019,Bundesliga,Midfield,148,True
2019,La Liga,Attack,178,True
2019,La Liga,Defender,207,True
2019,La Liga,Goalkeeper,64,True
2019,La Liga,Midfield,162,True
