position_or_role,to_league,age_band,row_count,fee_rate,mv_rate,fbref_perf_rate,wage_prior_rate
Defender,Unknown,29-32,551,0.10344827586206896,1.0,0.33575317604355714,0.5680580762250453
DEF,Serie A,29-32,529,0.3705103969754253,0.5897920604914934,0.5746691871455577,0.391304347826087
GK,Premier League,21-24,519,0.15606936416184972,0.649325626204239,0.5684007707129094,0.5703275529865125
Attack,Unknown,29-32,507,0.13609467455621302,1.0,0.39250493096646943,0.5088757396449705
DEF,Premier League,29-32,506,0.25889328063241107,0.5177865612648221,0.466403162055336,0.2845849802371542
FWD,La Liga,<21,505,0.22178217821782178,0.592079207920792,0.691089108910891,0.18811881188118812
Goalkeeper,Unknown,<21,494,0.044534412955465584,0.45951417004048584,0.020242914979757085,0.022267206477732792
Midfield,Unknown,29-32,489,0.10429447852760736,1.0,0.3721881390593047,0.6421267893660532
MID,Serie A,29-32,466,0.31759656652360513,0.5429184549356223,0.5407725321888412,0.37124463519313305
MID,La Liga,<21,463,0.16198704103671707,0.509719222462203,0.5529157667386609,0.13606911447084233
GK,Premier League,<21,443,0.10835214446952596,0.35214446952595935,0.3927765237020316,0.4898419864559819
Goalkeeper,Unknown,21-24,438,0.09360730593607305,0.9200913242009132,0.1598173515981735,0.14840182648401826
DEF,La Liga,29-32,431,0.20417633410672853,0.6102088167053364,0.5823665893271461,0.22505800464037123
MID,Premier League,29-32,431,0.2900232018561485,0.45707656612529,0.4361948955916473,0.3039443155452436
FWD,La Liga,29-32,412,0.24757281553398058,0.6286407766990292,0.6140776699029126,0.16747572815533981
DEF,La Liga,<21,402,0.1890547263681592,0.5472636815920398,0.6492537313432836,0.14427860696517414
MID,La Liga,29-32,393,0.1984732824427481,0.49872773536895676,0.47837150127226463,0.18829516539440203
FWD,Serie A,29-32,392,0.3622448979591837,0.5663265306122449,0.548469387755102,0.35459183673469385
GK,Serie A,<21,338,0.14201183431952663,0.5295857988165681,0.5384615384615384,0.4467455621301775
MID,Ligue 1,29-32,329,0.2066869300911854,0.5866261398176292,0.5683890577507599,0.41641337386018235
DEF,Ligue 1,29-32,326,0.18404907975460122,0.5030674846625767,0.4938650306748466,0.29141104294478526
FWD,Ligue 1,29-32,317,0.17981072555205047,0.47003154574132494,0.4384858044164038,0.2555205047318612
GK,La Liga,21-24,292,0.136986301369863,0.6301369863013698,0.6301369863013698,0.1780821917808219
GK,Premier League,25-28,290,0.2620689655172414,0.603448275862069,0.5620689655172414,0.5
GK,Ligue 1,<21,283,0.06713780918727916,0.45936395759717313,0.5477031802120141,0.508833922261484
Defender,Unknown,33+,277,0.010830324909747292,1.0,0.4620938628158845,0.6389891696750902
FWD,Bundesliga,29-32,269,0.3680297397769517,0.4795539033457249,0.4423791821561338,0.2788104089219331
GK,Ligue 1,21-24,268,0.08955223880597014,0.6044776119402985,0.6007462686567164,0.5261194029850746
MID,Bundesliga,29-32,263,0.4068441064638783,0.44866920152091255,0.43346007604562736,0.2965779467680608
GK,Serie A,21-24,257,0.3151750972762646,0.5447470817120622,0.5486381322957199,0.4280155642023346
