era,to_league,pos_group,age_band,transfer_type,row_count,positive_fee_rows,positive_fee_rate,mv_coverage
2020+,Unknown,Attack,<21,permanent,145,144.0,0.993103448275862,0.8344827586206897
2010-2019,La Liga,FWD,25-28,loan,143,28.0,0.1958041958041958,0.9790209790209791
<2000,Ligue 1,DEF,<21,permanent,143,2.0,0.013986013986013986,0.0
2010-2019,Premier League,MID,25-28,end_of_loan,142,0.0,0.0,0.9084507042253521
2000-2009,Unknown,DEF,<21,free,141,0.0,0.0,0.07801418439716312
2010-2019,La Liga,FWD,<21,permanent,141,48.0,0.3404255319148936,0.851063829787234
<2000,Ligue 1,MID,<21,permanent,141,6.0,0.0425531914893617,0.0
2010-2019,Serie A,GK,<21,permanent,139,35.0,0.2517985611510791,0.8489208633093526
<2000,Unknown,DEF,21-24,loan,139,1.0,0.007194244604316547,0.0
2010-2019,La Liga,MID,25-28,end_of_loan,138,0.0,0.0,0.8478260869565217
<2000,Unknown,FWD,<21,permanent,138,23.0,0.16666666666666666,0.0
2010-2019,Bundesliga,FWD,25-28,permanent,137,135.0,0.9854014598540146,0.9781021897810219
<2000,Premier League,FWD,<21,permanent,136,31.0,0.22794117647058823,0.0
<2000,Unknown,DEF,33+,permanent,136,12.0,0.08823529411764706,0.0
2000-2009,Bundesliga,DEF,<21,permanent,135,30.0,0.2222222222222222,0.3333333333333333
2000-2009,La Liga,FWD,21-24,permanent,135,86.0,0.6370370370370371,0.34074074074074073
2000-2009,Premier League,DEF,25-28,permanent,135,130.0,0.9629629629629629,0.35555555555555557
2010-2019,Premier League,FWD,29-32,end_of_loan,135,0.0,0.0,0.9037037037037037
2020+,Unknown,Defender,33+,Unknown,135,0.0,0.0,1.0
2020+,Unknown,GK,21-24,loan,135,2.0,0.014814814814814815,0.9555555555555556
2020+,Unknown,FWD,25-28,permanent,134,92.0,0.6865671641791045,0.9253731343283582
<2000,La Liga,MID,25-28,permanent,134,58.0,0.43283582089552236,0.0
2000-2009,Unknown,MID,33+,free,133,0.0,0.0,0.015037593984962405
2010-2019,La Liga,DEF,25-28,permanent,133,119.0,0.8947368421052632,0.9022556390977443
2010-2019,Unknown,FWD,<21,free,133,0.0,0.0,0.5789473684210527
