season,taxonomy,fee_source,row_count,fee_nonnull_rows,positive_fee_rows
2020,permanent_undisclosed_fee,no_fee_source,627,0,0.0
2020,retirement_or_internal_exit,no_fee_source,36,0,0.0
2021,disclosed_free_transfer,spine,776,776,2.0
2021,loan_return,no_fee_source,1029,0,0.0
2021,loan_return,raw_api,6,6,6.0
2021,loan_with_fee,raw_api,40,40,40.0
2021,loan_with_fee,spine,66,66,66.0
2021,loan_without_fee_or_unknown,no_fee_source,1288,0,0.0
2021,other_review_required,spine,6,6,0.0
2021,paid_permanent_transfer,raw_api,5,5,5.0
2021,paid_permanent_transfer,spine,796,796,796.0
2021,permanent_undisclosed_fee,no_fee_source,628,0,0.0
2021,retirement_or_internal_exit,no_fee_source,15,0,0.0
2022,disclosed_free_transfer,spine,607,607,0.0
2022,loan_return,no_fee_source,757,0,0.0
2022,loan_without_fee_or_unknown,no_fee_source,1116,0,0.0
2022,paid_permanent_transfer,spine,794,794,794.0
2022,permanent_undisclosed_fee,no_fee_source,485,0,0.0
2023,disclosed_free_transfer,no_fee_source,1,0,0.0
2023,disclosed_free_transfer,spine,1192,1192,1.0
2023,genuinely_unknown,no_fee_source,755,0,0.0
2023,genuinely_unknown,spine,8,8,3.0
2023,loan_with_fee,raw_api,64,64,64.0
2023,loan_with_fee,spine,83,83,83.0
2023,loan_without_fee_or_unknown,no_fee_source,651,0,0.0
2023,loan_without_fee_or_unknown,spine,495,495,0.0
2023,other_review_required,spine,3,3,0.0
2023,paid_permanent_transfer,raw_api,1,1,1.0
2023,paid_permanent_transfer,spine,988,988,988.0
2024,disclosed_free_transfer,spine,1621,1621,0.0
2024,genuinely_unknown,no_fee_source,1172,0,0.0
2024,genuinely_unknown,spine,10,10,2.0
2024,loan_with_fee,raw_api,86,86,86.0
2024,loan_with_fee,spine,102,102,102.0
2024,loan_without_fee_or_unknown,no_fee_source,1877,0,0.0
2024,loan_without_fee_or_unknown,spine,1458,1458,0.0
2024,other_review_required,spine,17,17,0.0
2024,paid_permanent_transfer,spine,1157,1157,1157.0
2025,disclosed_free_transfer,spine,1136,1136,0.0
2025,genuinely_unknown,no_fee_source,624,0,0.0
2025,genuinely_unknown,spine,5,5,0.0
2025,loan_with_fee,raw_api,54,54,54.0
2025,loan_with_fee,spine,122,122,122.0
