segment,season,index,ci_lo,ci_hi,log_se,n
elite,2015,146.13074382667216,124.57362211315693,171.41826599486146,0.08143104246904412,114
elite,2016,172.83556308025865,148.08001528643703,201.72966492127395,0.07887136151095653,120
elite,2017,222.28346966307222,186.94954010172492,264.29560007779907,0.08832383484795539,120
elite,2018,190.1512369185983,160.0630507754628,225.89531266897316,0.08788363997917135,132
elite,2019,240.1429264601446,202.31722128925034,285.04061474032574,0.087447655598309,125
elite,2020,217.82199347490575,185.37746661628262,255.94491988388427,0.0822877954509453,78
elite,2021,212.81710254385143,174.53938821664966,259.4893886011672,0.1011646360838793,82
elite,2022,260.58498205960234,222.29106809244615,305.47575958725974,0.08109254799367738,80
median,1992,44.21035914636202,35.827866089373764,54.554068360493865,0.1072618155314244,199
median,1993,36.41132336511294,30.29896688236337,43.756754952940035,0.09375826126716481,266
median,1994,42.98255250028903,36.11937875197614,51.1498227067104,0.08875752484795438,323
median,1995,47.83997981204208,39.866650101230654,57.40797540312885,0.09302119914583429,384
median,1996,56.37171847976459,47.025597463537615,67.57533802363255,0.09248750357425438,387
median,1997,86.48256310084015,73.21555117790138,102.15362173969747,0.08496681876484952,445
median,1998,93.91498653734192,78.36860021558101,112.54539027169639,0.09232991573391591,452
median,1999,109.7595585153321,92.00414627508495,130.9414974566535,0.0900298456406595,435
median,2000,107.78580281528059,90.05149572470259,129.01261878038522,0.09171646381656945,483
median,2001,133.5584383900421,110.7913929827498,161.00399123931967,0.09535205723182145,447
median,2002,118.65881222080792,96.63177911710565,145.7068662741877,0.10476764661105196,287
median,2003,86.42821096510886,70.19927625201093,106.40901230680966,0.10611027404948613,300
median,2004,95.15030103798713,78.79443303625759,114.90126191343406,0.09623235201138916,402
median,2005,96.94086562571896,81.61078155140028,115.15061183852191,0.08782641825498748,466
median,2006,96.93826101335785,82.0144948621352,114.5776300163784,0.08529504755537944,584
median,2007,119.99664790299786,102.71135206425417,140.19088658231462,0.079357735335866,791
median,2008,117.89618337455836,100.69348960721831,138.03782258918847,0.08047106583469392,717
median,2009,114.38329254746913,97.20356692407327,134.5993570814083,0.08303449825098021,808
median,2010,100.0,100.0,100.0,0.0,787
median,2011,97.38980266134702,82.85838358141173,114.46969217178777,0.08244315360579783,980
median,2012,110.14194683793643,94.05903002710086,128.9748411157917,0.08053438547073444,888
median,2013,107.49890393909452,91.29118393309037,126.58412182031033,0.08338083172614467,894
median,2014,117.51450032174526,99.236416701219,139.1591740706195,0.08625340928374618,871
median,2015,157.6066054089091,134.89193611569058,184.1462342657428,0.07940209406478982,1019
median,2016,170.6994422981538,144.95778697042942,201.01230992747415,0.08339887089547265,1033
median,2017,211.4969955187072,179.93997508644165,248.58833670479092,0.08244258636018854,1074
median,2018,198.3974540205566,166.76142319618646,236.0351033675935,0.08862661981465396,1015
median,2019,227.02441471022192,190.3388230977492,270.78072689379934,0.08992438878577819,1093
median,2020,210.29305078000186,173.76619182123898,254.49810888331368,0.09734253438981033,701
median,2021,203.26035627856226,170.41901289296138,242.43053479271995,0.08991199711668929,719
median,2022,275.9839486639277,234.00479935875157,325.4939220428639,0.08418422539984853,714
median,2023,311.3174072718648,267.4865136195613,362.3305218607046,0.07742032917838612,886
median,2024,279.15344270106755,239.32373106130282,325.61185732098295,0.07854308460135748,1041
median,2025,328.5032707988532,278.0763558778122,388.0747019461181,0.0850260496100748,846
fwd,1992,44.725236576122605,30.650657732130355,65.26276872333541,0.19279785579160877,80
fwd,1993,34.20837684295381,25.324644585151624,46.208468683333834,0.15341455873397913,108
fwd,1994,41.153801432715355,30.483050884537427,55.55990372415326,0.15313545015603577,115
fwd,1995,52.773566226051315,38.579497287512545,72.18988032580954,0.1598415554543894,142
fwd,1996,69.20925425282664,51.25000578535913,93.46186016628243,0.1532749258959164,135
fwd,1997,87.51721269829082,65.15946123453078,117.54643720747808,0.15050917102873046,158
fwd,1998,98.95137014601544,73.02506476877215,134.0823686329801,0.15501315489371956,166
fwd,1999,128.655134052012,95.52349681494377,173.27824116413356,0.1519199938206982,158
fwd,2000,114.08046783552732,82.97248662766597,156.8514295584982,0.16244642406682067,173
fwd,2001,124.98847977969186,90.21029232493706,173.17447571689087,0.1663663495590197,140
fwd,2002,129.7502503757526,88.21456514585975,190.8429457735713,0.1968568186914326,92
fwd,2003,100.30681117302342,68.62753239170569,146.60961886656153,0.19364275491675795,115
fwd,2004,98.7286943335246,70.85148514104318,137.57446390006638,0.16928045879419515,150
fwd,2005,103.10760347330046,78.41820084832356,135.57028571173393,0.13965157282743834,199
fwd,2006,93.33090721929806,69.26062243358324,125.76638696439986,0.15218101746816617,202
fwd,2007,127.08015149358552,98.73755728104707,163.55848117312658,0.12875133055485008,313
fwd,2008,110.9984905102025,84.53402879445956,145.74799132667175,0.13896042922845253,257
fwd,2009,127.86524516572067,94.54420633449978,172.92990818966564,0.1540354184715947,264
fwd,2010,100.0,100.0,100.0,0.0,346
fwd,2011,94.00396489335111,70.66937718930814,125.04348795941186,0.14557378539600987,337
fwd,2012,107.00252498138003,82.84072948541596,138.21148634871136,0.13057785188542742,355
fwd,2013,125.6839732387476,94.79766859323533,166.6334348037484,0.14389070985594501,326
fwd,2014,124.06381080549096,95.23344063117426,161.62210510897162,0.13493106594929755,307
fwd,2015,163.72627789808863,126.29320108897153,212.25445109652057,0.13244377538613966,449
fwd,2016,192.17924636441236,146.0469243143766,252.88353662068798,0.1400512968614019,384
fwd,2017,231.0706994934959,176.22849318380497,302.97976904747344,0.13823587364854034,393
fwd,2018,215.59494143622567,163.51704611045946,284.2589190456051,0.14106333345620833,385
fwd,2019,206.08139503509847,155.84636704800147,272.5090240090837,0.14255128413542018,451
fwd,2020,199.5877952128246,145.80973917414588,273.20046125546986,0.16017938788738806,285
fwd,2021,199.05953100979013,144.3232079251459,274.5552669975933,0.1640554320718331,267
fwd,2022,285.4518482336848,217.11645924968676,375.29516620534235,0.13961197400326256,278
nonfwd,1992,45.0016848759796,34.31681868497366,59.01338525192972,0.1382981408642117,143
nonfwd,1993,38.17170793993389,29.589584915568384,49.24297827121523,0.1299347820990784,188
nonfwd,1994,44.0975614837543,35.20312696720321,55.239266972651635,0.11493345551884611,247
nonfwd,1995,46.37956426828879,36.71354644033814,58.59047110068614,0.11924139652715506,286
nonfwd,1996,51.51432575920868,40.88705681129714,64.90380979666513,0.11788080892135572,298
nonfwd,1997,85.35434764036913,69.08318048500078,105.45786412793738,0.10790821126577346,341
nonfwd,1998,91.69073807248455,72.9117089341108,115.30646546598457,0.11692455570558011,339
nonfwd,1999,102.08018022989329,81.13351484268951,128.43475616669184,0.1171747225068477,326
nonfwd,2000,108.16800088749645,85.93908374720039,136.14662742292262,0.11737084975094103,364
nonfwd,2001,141.62797125232422,111.78333630911442,179.4407190136235,0.12073530527847602,357
nonfwd,2002,118.54752361935141,91.22001983680036,154.06174413712583,0.1336936401201609,230
nonfwd,2003,88.29346292762533,67.07399511617217,116.22590218831806,0.1402396212428259,222
nonfwd,2004,95.86992285711945,75.45407687844742,121.80974824509912,0.1221775941321151,299
nonfwd,2005,90.55911521615101,71.76251321139569,114.27907108790924,0.11869418605859894,320
nonfwd,2006,97.45642705753504,79.20448980302925,119.91435332062954,0.10580223953753588,449
nonfwd,2007,113.273106689572,92.72223373488558,138.3788567453346,0.10213953377639334,567
nonfwd,2008,124.93970884341341,102.17838001080261,152.77136752634544,0.10260774601192729,553
nonfwd,2009,109.41914847772189,89.55059114138906,133.69593545939418,0.10223580445502273,636
nonfwd,2010,100.0,100.0,100.0,0.0,530
nonfwd,2011,99.82383148812636,81.51425130346323,122.24607566930423,0.10338218351934661,755
nonfwd,2012,113.55311703748549,91.59914595859495,140.76889313746904,0.10961671986060283,644
nonfwd,2013,103.61649182803205,83.69572011735062,128.27869051959942,0.10893299086812867,668
nonfwd,2014,117.24111140333405,94.10348802024356,146.06768029822715,0.11216198084510891,661
nonfwd,2015,151.04381942691313,122.88578539468841,185.65398197842381,0.10526257124652806,684
nonfwd,2016,164.4008372592604,133.22538279450185,202.87151535706633,0.10727820099743067,769
nonfwd,2017,207.51460123975,167.9785395435621,256.3560193147474,0.1078395276448919,801
nonfwd,2018,203.3630900367913,162.66951610966805,254.2366103888233,0.11391447353874128,762
nonfwd,2019,247.18076508302659,198.58488598328546,307.668583762074,0.11168533953641525,767
nonfwd,2020,220.4039994382325,174.2411081840655,278.79714192962683,0.11990928781621374,494
nonfwd,2021,213.03616823560893,169.7133132676861,267.41808348839766,0.11599557870957294,534
nonfwd,2022,276.9726031989923,222.9454453997174,344.09235311036184,0.11070994582103133,516
nonfwd,2023,289.86268672676687,239.38210376826214,350.98854857503096,0.09762565356638146,989
nonfwd,2024,258.37385413281044,213.73869060420296,312.33020241085956,0.09676193169866493,1157
nonfwd,2025,310.0451576273531,253.44589893210028,379.28410036701166,0.10284059837895278,942
premium,2005,110.55089858534134,95.47662143776546,128.005170208005,0.07479317335072569,177
premium,2006,112.67520649614562,98.08151096153236,129.44031993887532,0.07077067539657289,243
premium,2007,121.9167865255097,108.0431455879144,137.57191866107001,0.06163678103135031,409
premium,2008,121.89367354147235,108.68497111494915,136.70765605412558,0.05851816940140504,469
premium,2009,126.82415175068056,111.83589895225634,143.8211309424552,0.06416779905832234,655
premium,2010,100.0,100.0,100.0,0.0,744
premium,2011,95.7819999009679,85.73691574409413,107.00398335312133,0.05652616659166718,949
premium,2012,92.03924973471126,81.89271626655871,103.44294191140186,0.05959441897485973,938
premium,2013,91.83014960916465,82.25727090582235,102.5170940438369,0.056167798475476975,953
premium,2014,104.22651736061717,92.21530230427781,117.802215572405,0.06246964121720736,928
premium,2015,122.41511830276156,109.84441800138549,136.42442157497788,0.05528208938342333,1099
premium,2016,126.37582043591536,113.67581253333994,140.49468954679023,0.054035470329295385,1119
premium,2017,150.5057738203652,135.1136126904048,167.65141203922204,0.0550435957709905,1163
premium,2018,138.1607620807506,123.4237065048308,154.65745373630185,0.05754833962840409,1117
premium,2019,122.71965522338306,109.60490879668635,137.40364317151204,0.05766345222228423,1169
premium,2020,127.5218168963931,112.53242089371587,144.50781077495964,0.0637990290940604,740
premium,2021,101.63123043554194,91.11593377601476,113.36005209838717,0.05572356167260706,735
premium,2022,112.72132624311837,100.2453592254518,126.74998112811899,0.05984584706147319,572
